buyer,house_name,buyer's payoff
0,house26,18.0
1,house75,18.0
2,house79,18.0
3,house65,18.0
4,house33,19.0
5,house64,18.0
6,house91,18.0
7,house87,18.0
8,house92,18.0
9,house46,18.0
10,house39,18.0
11,house51,18.0
12,house49,18.0
13,house96,18.0
14,house13,18.0
15,house54,18.0
16,house15,18.0
17,house72,18.0
18,house70,19.0
19,house82,18.0
20,house97,19.0
21,house57,19.0
22,house12,18.0
23,house44,18.0
24,house27,18.0
25,house19,18.0
26,house22,18.0
27,house43,18.0
28,house62,18.0
29,house42,19.0
30,house48,18.0
31,house32,18.0
32,house67,18.0
33,house45,19.0
34,house23,18.0
35,house66,18.0
36,house69,19.0
37,house76,18.0
38,house34,18.0
39,house74,18.0
40,house88,18.0
41,house93,18.0
42,house3,18.0
43,house17,18.0
44,house61,19.0
45,house40,18.0
46,house81,18.0
47,house28,18.0
48,house7,18.0
49,house78,18.0
50,house0,18.0
51,house50,18.0
52,house36,18.0
53,house14,18.0
54,house52,18.0
55,house16,18.0
56,house21,18.0
57,house73,18.0
58,house89,19.0
59,house24,18.0
60,house58,18.0
61,house90,18.0
62,house4,18.0
63,house1,18.0
64,house59,18.0
65,house25,18.0
66,house71,18.0
67,house41,18.0
68,house63,18.0
69,house77,18.0
70,house29,18.0
71,house53,18.0
72,house85,18.0
73,house18,18.0
74,house60,18.0
75,house10,18.0
76,house86,19.0
77,house38,18.0
78,house37,19.0
79,house11,18.0
80,house5,18.0
81,house30,18.0
82,house6,18.0
83,house35,18.0
84,house98,18.0
85,house31,19.0
86,house83,18.0
87,house9,18.0
88,house56,18.0
89,house8,18.0
90,house80,18.0
91,house68,18.0
92,house20,18.0
93,house94,18.0
94,house99,18.0
95,house84,18.0
96,house55,18.0
97,house95,18.0
98,house2,18.0
99,house47,18.0
